,actor1,actor2,admin1,admin2,admin3,assoc_actor_1,assoc_actor_2,country,data_id,event_date,event_id_cnty,event_id_no_cnty,event_type,fatalities,geo_precision,inter1,inter2,interaction,iso,iso3,latitude,location,longitude,notes,region,source,source_scale,sub_event_type,time_precision,timestamp,year
542,Rioters (Haiti),,Ouest,Port-au-Prince,Delmas,,,Haiti,6985181,2019-10-09,HTI522,522,Riots,0,1,5,0,50,332,HTI,18.5447,Delmas,-72.3028,"On 9 October 2019, in Delmas, Port-au-Prince, demonstrators set tires on fire at the level of Delmas 47 as part of anti-government demonstrations. In Delmas 47, people were beating pots and pan to show their discontent. [size=no report]",Caribbean,Alterpresse,National,Violent demonstration,1,1583951163,2019
543,Rioters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6985182,2019-10-09,HTI523,523,Riots,0,1,5,0,50,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 9 October 2019, in Port-au-Prince, demonstrators set tires on fire as part of anti-government demonstrations. [size=no report]",Caribbean,Alterpresse,National,Violent demonstration,1,1583951163,2019
544,Rioters (Haiti),Rioters (Haiti),Sud,Les Cayes,Les Cayes,,,Haiti,6958606,2019-10-08,HTI284,284,Riots,0,1,5,5,55,332,HTI,18.1933,Les Cayes,-73.7460,"On October 8, 2019, in Les Cayes, two groups of demonstrators clashed over the new delegate named by the president. Several dozens of demonstrators against him tried to block the swearing in ceremony. At least three motorcycles were set on fire during the clashes. [size=several dozens]",Caribbean,Loop News Haiti,National,Violent demonstration,1,1582840328,2019
545,Protesters (Haiti),,Nord-Ouest,Port-de-Paix,Port-de-Paix,,,Haiti,6985180,2019-10-08,HTI521,521,Protests,0,1,6,0,60,332,HTI,19.9389,Port-de-Paix,-72.8326,"Between 7 and 9 October 2019, in Port-de-Paix, anti-government protests were registered. [size=no report]",Caribbean,Alterpresse,National,Peaceful protest,2,1583951163,2019
546,Protesters (Haiti),,Nord,Cap-Haitien,Cap-Haitien,,,Haiti,6985187,2019-10-08,HTI515,515,Protests,0,1,6,0,60,332,HTI,19.7594,Cap-Haitien,-72.1982,"Between 7 and 9 October 2019, in Cap-Haitien, anti-government protests were registered. [size=no report]",Caribbean,Alterpresse,National,Peaceful protest,2,1583951163,2019
547,Protesters (Haiti),,Sud-Est,Jacmel,Jacmel,,,Haiti,6985188,2019-10-08,HTI516,516,Protests,0,1,6,0,60,332,HTI,18.2343,Jacmel,-72.5354,"Between 7 and 9 October 2019, in Jacmel, anti-government protests were registered. [size=no report]",Caribbean,Alterpresse,National,Peaceful protest,2,1583951163,2019
548,Protesters (Haiti),,Grand'Anse,Jeremie,Jeremie,,,Haiti,6985189,2019-10-08,HTI517,517,Protests,0,1,6,0,60,332,HTI,18.6500,Jeremie,-74.1167,"Between 7 and 9 October 2019, in Jeremie, anti-government protests were registered. [size=no report]",Caribbean,Alterpresse,National,Peaceful protest,2,1583951163,2019
549,Protesters (Haiti),,Ouest,Leogane,Leogane,,,Haiti,6985190,2019-10-08,HTI518,518,Protests,0,1,6,0,60,332,HTI,18.5111,Leogane,-72.6334,"Between 7 and 9 October 2019, in Leogane, anti-government protests were registered. [size=no report]",Caribbean,Alterpresse,National,Peaceful protest,2,1583951163,2019
550,Protesters (Haiti),,Ouest,Port-au-Prince,Petion-Ville,,,Haiti,6985191,2019-10-08,HTI519,519,Protests,0,1,6,0,60,332,HTI,18.5125,Petion-Ville,-72.2853,"Between 7 and 9 October 2019, in Petion-Ville, anti-government protests were registered. [size=no report]",Caribbean,Alterpresse,National,Peaceful protest,2,1583951163,2019
551,Protesters (Haiti),,Ouest,Leogane,Petit-Goave,,,Haiti,6985192,2019-10-08,HTI520,520,Protests,0,1,6,0,60,332,HTI,18.4312,Petit-Goave,-72.8652,"Between 7 and 9 October 2019, in Petit-Goave, anti-government protests were registered. [size=no report]",Caribbean,Alterpresse,National,Peaceful protest,2,1583951163,2019
552,Protesters (Dominican Republic),,Distrito Nacional,Santo Domingo,,PLD: Dominican Liberation Party,,Dominican Republic,6939887,2019-10-08,DOM32,32,Protests,0,1,6,0,60,214,DOM,18.4719,Santo Domingo,-69.8923,"On October 8, 2019, in Santo Domingo, members of the Partido de la Liberacion Dominicana (PLD) protested in front of the Central Electoral Board after the elections held on October 6, where they say there was election fraud. Hundreds of police and military were guarding the premises, but no intervention happened. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2019
553,Protesters (Haiti),,Nippes,Miragoane,Miragoane,,,Haiti,6958371,2019-10-07,HTI279,279,Protests,0,1,6,0,60,332,HTI,18.4423,Miragoane,-73.0876,"On October 7, 2019, in Miragoane, hundreds of sympathizers with the political opposition movements protested against high cost of life, lack of fuel, and demanding the resignation of the president. [size=hundreds]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840327,2019
554,Police Forces of Haiti (2011-),Civilians (Haiti),Ouest,Port-au-Prince,Tabarre,,,Haiti,6958372,2019-10-07,HTI283,283,Violence against civilians,1,1,1,7,17,332,HTI,18.5833,Tabarre,-72.2667,"On October 7, 2019, in Tabarre, an 18-year-old man was shot and killed, his family claims he was killed by the police. It is unclear whether he was part of the anti-government demonstrations.",Caribbean,Le Nouvelliste,National,Attack,1,1582840327,2019
555,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Kingston,,,,,Jamaica,6958895,2019-10-07,JAM128,128,Violence against civilians,1,1,3,7,37,388,JAM,17.9970,Kingston,-76.7936,"On October 7, 2019, in Kingston, a man was shot and killed by a group of gunmen.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
556,Rioters (Haiti),,Artibonite,Gonaives,Gonaives,,,Haiti,6958385,2019-10-07,HTI278,278,Riots,0,1,5,0,50,332,HTI,19.4475,Gonaives,-72.6890,"On October 7, 2019, in Gonaives, there were demonstrations against the president, the demonstrators fired guns and set up barricades. [size=no report]",Caribbean,Le Nouvelliste,National,Violent demonstration,1,1582840327,2019
557,Rioters (Haiti),Civilians (Haiti),Artibonite,Saint-Marc,Saint-Marc,,,Haiti,6958660,2019-10-07,HTI282,282,Riots,0,1,5,7,57,332,HTI,19.1082,Saint-Marc,-72.6938,"On October 7, 2019, in Saint-Marc, there were demonstrations against the president, demonstrators setting fire to barricades, throwing stones, and attempting to set fire to banks. [size=no report]",Caribbean,Loop News Haiti,National,Violent demonstration,1,1582840328,2019
558,Protesters (Haiti),,Centre,Mirebalais,Mirebalais,,,Haiti,6958426,2019-10-07,HTI280,280,Protests,0,1,6,0,60,332,HTI,18.8346,Mirebalais,-72.1048,"On October 7, 2019, in Mirebalais, hundreds of people protested, sympathizers with the political opposition movements, demanding the resignation of the president. [size=hundreds]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840327,2019
559,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),Trujillo Alto,,,,,Puerto Rico,6945387,2019-10-07,PRT179,179,Violence against civilians,0,1,3,7,37,630,PRI,18.3547,Trujillo Alto,-66.0074,"On October 7, 2019, in Trujillo Alto, a man was attacked and injured by three men, one of them armed with a machete.",Caribbean,El Vocero de Puerto Rico,National,Attack,1,1582840210,2019
560,Rioters (Haiti),Police Forces of Haiti (2011-),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958756,2019-10-07,HTI281,281,Riots,1,1,5,1,15,332,HTI,18.5435,Port-au-Prince,-72.3388,"On October 7, 2019, in Port-au-Prince, anti-president demonstrations continued for the fourth week running. One man was shot and killed, the demonstrators blamed the government for the killing, setting fire to vehicles and throwing stones at the police. The police sprayed teargas at demonstrators in the Delmas area, one person was injured. Burning barricades were set up in various areas of the city. [size=no report]",Caribbean,Loop News Haiti,National,Violent demonstration,1,1582840329,2019
561,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Saint James,,,,,Jamaica,6958902,2019-10-06,JAM127,127,Violence against civilians,1,2,3,7,37,388,JAM,18.4712,Montego Bay,-77.9188,"On October 6, 2019, in Barrett Town near Montego Bay, a man was shot and killed, and three others shot and injured, by an armed group.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
562,Police Forces of Haiti (2011-),Civilians (Haiti),Ouest,Port-au-Prince,Tabarre,,,Haiti,6985186,2019-10-06,HTI514,514,Violence against civilians,1,1,1,7,17,332,HTI,18.5833,Tabarre,-72.2667,"On 6 October 2019, in Tabarre, Port-au-Prince, a man was shot and killed by members of the national police. 1 fatality.",Caribbean,Alterpresse,National,Attack,1,1583951163,2019
563,Unidentified Gang (Puerto Rico),Civilians (Puerto Rico),San Juan,,,,,Puerto Rico,6945389,2019-10-05,PRT178,178,Violence against civilians,1,1,3,7,37,630,PRI,18.4663,San Juan,-66.1057,"On October 5, 2019, in San Juan, a man was shot and killed by an armed group while driving on the highway. The man had a standing drug case against him.",Caribbean,El Vocero de Puerto Rico,National,Attack,1,1582840210,2019
564,Unidentified Gang (Jamaica),Unidentified Gang (Jamaica),Kingston,,,,,Jamaica,6958897,2019-10-04,JAM126,126,Battles,0,1,3,3,33,388,JAM,17.9970,Kingston,-76.7936,"On October 4, 2019, in Kingston, there was a shootout between rival gangs, police were present in the area and asking the public to use alternate routes for transportation.",Caribbean,Loop News Jamaica,National,Armed clash,1,1582840329,2019
565,Rioters (Haiti),Police Forces of Haiti (2011-),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958702,2019-10-04,HTI276,276,Riots,0,1,5,1,15,332,HTI,18.5435,Port-au-Prince,-72.3388,"On October 4, 2019, in Port-au-Prince, thousands of people demonstrated against the President. Some demonstrators threw rocks and Molotov cocktails at the police who answered with teargas and water jets. [size=thousands]",Caribbean,Loop News Haiti,National,Violent demonstration,1,1582840328,2019
566,Protesters (Haiti),Police Forces of Haiti (2011-),Sud,Les Cayes,Les Cayes,,,Haiti,6958470,2019-10-04,HTI275,275,Protests,0,1,6,1,16,332,HTI,18.1933,Les Cayes,-73.7460,"On October 4, 2019, in Les Cayes, a few thousand people demonstrated against the president, the police dispersed the demonstrators with teargas and arrested one woman who carried a machete. [size=few thousand]",Caribbean,Le Nouvelliste,National,Protest with intervention,1,1582840328,2019
567,Unidentified Armed Group (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958741,2019-10-04,HTI277,277,Violence against civilians,1,1,3,7,37,332,HTI,18.5435,Port-au-Prince,-72.3388,"On October 4, 2019, in Port-au-Prince, a 16-year-old and a friend were shot by an armed group in a truck during an anti-government demonstration. They went to the hospital, where they could not get the help they needed, and the teenager died some hours later.",Caribbean,Loop News Haiti,National,Attack,1,1582840328,2019
568,Rioters (Haiti),Police Forces of Haiti (2011-),Nord,Cap-Haitien,Cap-Haitien,,,Haiti,6958488,2019-10-04,HTI274,274,Riots,1,1,5,1,15,332,HTI,19.7594,Cap-Haitien,-72.1982,"On October 4, 2019, in Cap-Haitien, a clash took place between demonstrators and police forces, during an anti-government demonstration. A woman was shot and killed during the clash. She is reported to have been selling soft drinks and to have been shot by the police. At least five other people were injured and sent to hospital. [size=no report]",Caribbean,Le Nouvelliste,National,Violent demonstration,1,1582840328,2019
569,Unidentified Gang (Jamaica),Unidentified Gang (Jamaica),Kingston,,,,,Jamaica,6958885,2019-10-03,JAM125,125,Battles,1,1,3,3,33,388,JAM,17.9970,Kingston,-76.7936,"On October 3, 2019, in Kingston, a man was shot and killed in a clash between two local groups.",Caribbean,Loop News Jamaica,National,Armed clash,1,1582840329,2019
570,Unidentified Armed Group (Haiti),Civilians (Haiti),Sud,Les Cayes,Les Cayes,,Women (Haiti),Haiti,6958651,2019-10-03,HTI273,273,Violence against civilians,0,1,3,7,37,332,HTI,18.1933,Les Cayes,-73.7460,"On October 3, 2019, in Les Cayes, an armed group entered the hospital, where they pillaged the hospital, robbed people and raped a woman in her 70s. The hospital administrator says they invade the hospital almost every night.",Caribbean,Loop News Haiti,National,Sexual violence,1,1582840328,2019
571,Protesters (Puerto Rico),,San Juan,,,Labour Group (Puerto Rico),,Puerto Rico,6941252,2019-10-03,PRT177,177,Protests,0,1,6,0,60,630,PRI,18.4663,San Juan,-66.1057,"On October 3, 2019, in San Juan, workers from the state department protested for better working conditions. [size=no report]",Caribbean,El Nuevo Dia (Puerto Rico),National,Peaceful protest,1,1582839952,2019
572,Protesters (Martinique),,Fort-de-France,Fort-de-France,,Police Forces of France (2017-),,Martinique,6946571,2019-10-02,MTQ9,9,Protests,0,1,6,0,60,474,MTQ,14.6037,Fort-de-France,-61.0742,"On October 2, 2019, in Fort-de-France, various tens of police officers protested against insecurity and demanded better work conditions. [size=tens]",Caribbean,France Info,International,Peaceful protest,1,1582840214,2019
573,Rioters (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Carrefour,,,Haiti,6985184,2019-10-02,HTI512,512,Riots,0,1,5,7,57,332,HTI,18.5411,Carrefour,-72.3992,"On 2 October 2019, in Carrefour, people were throwing rocks at those trying to use the road to the airport as part of anti-government demonstrations. [size=no report]",Caribbean,Alterpresse,National,Violent demonstration,1,1583951163,2019
574,Rioters (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6985185,2019-10-02,HTI513,513,Riots,0,1,5,7,57,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 2 October 2019, in Port-au-Prince, burning tires were set as barricades in Bicentenaire and Martissant as part of anti-government demonstrations. Armed individuals were controlling access and requesting money from civilians who want to cross the barricade. [size=no report]",Caribbean,Alterpresse,National,Violent demonstration,1,1583951163,2019
575,Village de Dieu Gang,Unidentified Gang (Haiti),Artibonite,Dessalines,Dessalines,,,Haiti,6958332,2019-10-02,HTI272,272,Battles,1,1,3,3,33,332,HTI,19.2618,Dessalines,-72.5161,"On October 2, 2019, in Marchand-Dessalines, the new leader of the Village de Dieu/ Post Pierrot gang was decapitated by a gang from the Barrage area.",Caribbean,Le Nouvelliste,National,Armed clash,1,1582840327,2019
576,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),San Juan,,,,,Puerto Rico,6945327,2019-10-01,PRT176,176,Violence against civilians,1,1,3,7,37,630,PRI,18.4663,San Juan,-66.1057,"On October 1, 2019, in San Juan, an ex-convict on probation was shot and killed by a hit man.",Caribbean,El Vocero de Puerto Rico,National,Attack,1,1582840209,2019
577,Unidentified Armed Group (Haiti),Police Forces of Haiti (2011-),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958400,2019-10-01,HTI271,271,Battles,3,2,3,1,13,332,HTI,18.5435,Port-au-Prince,-72.3388,"On October 1, 2019, in Port-au-Prince, a police officer was shot and killed by an armed group who attacked the police station. Two of the attackers were also killed. Fatalities: 3",Caribbean,Le Nouvelliste,National,Armed clash,1,1582840327,2019
578,Rioters (Haiti),Police Forces of Haiti (2011-),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958707,2019-10-01,HTI270,270,Riots,0,1,5,1,15,332,HTI,18.5435,Port-au-Prince,-72.3388,"On October 1, 2019, in Port-au-Prince, there were demonstrations against the president, and clashes between anti-government demonstrators and police where several demonstrators were injured by rubber bullets. [size=no report]",Caribbean,Loop News Haiti,National,Violent demonstration,1,1582840328,2019
579,Police Forces of Cuba (1959-),Civilians (Cuba),Santiago de Cuba,Santiago de Cuba,,,UNPACU: Patriotic Union of Cuba,Cuba,6934220,2019-10-01,CUB15,15,Strategic developments,0,1,1,7,17,192,CUB,20.0208,Santiago de Cuba,-75.8267,"On October 1, 2019, in Santiago de Cuba, the leader of the opposition movement UNPACU was detained and imprisoned, his family saw him in prison on October 3rd but he has not been seen again as of October 31st.",Caribbean,CubaNet,National,Arrests,1,1582839804,2019
580,Ti Junior Gang,La Saline Communal Militia (Haiti),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6985183,2019-10-01,HTI511,511,Battles,10,1,3,4,34,332,HTI,18.5435,Port-au-Prince,-72.3388,"Around 1 October 2019, in Port-au-Prince, an armed confrontation between members of the Ti Junior Gang, its allies and residents of projet La Saline neighbourhood was reported. 4 people were killed on 1 October and 6 more were reported killed between 1-9 October.",Caribbean,Alterpresse,National,Armed clash,2,1583951163,2019
